brandId,brandName,brandUrl
109,KTM,https://car.autohome.com.cn//price/brand-109.html
156,卡尔森,https://car.autohome.com.cn//price/brand-156.html
224,卡升,https://car.autohome.com.cn//price/brand-224.html
199,卡威,https://car.autohome.com.cn//price/brand-199.html
101,开瑞,https://car.autohome.com.cn//price/brand-101.html
213,开沃汽车,https://car.autohome.com.cn//price/brand-213.html
47,凯迪拉克,https://car.autohome.com.cn//price/brand-47.html
214,凯翼,https://car.autohome.com.cn//price/brand-214.html
100,科尼赛克,https://car.autohome.com.cn//price/brand-100.html
9,克莱斯勒,https://car.autohome.com.cn//price/brand-9.html
335,LITE,https://car.autohome.com.cn//price/brand-335.html
241,LOCAL MOTORS,https://car.autohome.com.cn//price/brand-241.html
118,Lorinser,https://car.autohome.com.cn//price/brand-118.html
48,兰博基尼,https://car.autohome.com.cn//price/brand-48.html
54,劳斯莱斯,https://car.autohome.com.cn//price/brand-54.html
215,雷丁,https://car.autohome.com.cn//price/brand-215.html
52,雷克萨斯,https://car.autohome.com.cn//price/brand-52.html
10,雷诺,https://car.autohome.com.cn//price/brand-10.html
124,理念,https://car.autohome.com.cn//price/brand-124.html
345,理想汽车,https://car.autohome.com.cn//price/brand-345.html
80,力帆汽车,https://car.autohome.com.cn//price/brand-80.html
89,莲花汽车,https://car.autohome.com.cn//price/brand-89.html
78,猎豹汽车,https://car.autohome.com.cn//price/brand-78.html
51,林肯,https://car.autohome.com.cn//price/brand-51.html
53,铃木,https://car.autohome.com.cn//price/brand-53.html
318,零跑汽车,https://car.autohome.com.cn//price/brand-318.html
279,领克,https://car.autohome.com.cn//price/brand-279.html
343,领途汽车,https://car.autohome.com.cn//price/brand-343.html
204,陆地方舟,https://car.autohome.com.cn//price/brand-204.html
88,陆风,https://car.autohome.com.cn//price/brand-88.html
49,路虎,https://car.autohome.com.cn//price/brand-49.html
50,路特斯,https://car.autohome.com.cn//price/brand-50.html
346,罗夫哈特,https://car.autohome.com.cn//price/brand-346.html
56,MINI,https://car.autohome.com.cn//price/brand-56.html
58,马自达,https://car.autohome.com.cn//price/brand-58.html
57,玛莎拉蒂,https://car.autohome.com.cn//price/brand-57.html
55,迈巴赫,https://car.autohome.com.cn//price/brand-55.html
129,迈凯伦,https://car.autohome.com.cn//price/brand-129.html
381,迈迈,https://car.autohome.com.cn//price/brand-381.html
374,迈莎锐,https://car.autohome.com.cn//price/brand-374.html
20,名爵,https://car.autohome.com.cn//price/brand-20.html
168,摩根,https://car.autohome.com.cn//price/brand-168.html
295,NEVS国能汽车,https://car.autohome.com.cn//price/brand-295.html
309,哪吒汽车,https://car.autohome.com.cn//price/brand-309.html
130,纳智捷,https://car.autohome.com.cn//price/brand-130.html
60,讴歌,https://car.autohome.com.cn//price/brand-60.html
59,欧宝,https://car.autohome.com.cn//price/brand-59.html
331,欧拉,https://car.autohome.com.cn//price/brand-331.html
146,欧朗,https://car.autohome.com.cn//price/brand-146.html
308,Polestar极星,https://car.autohome.com.cn//price/brand-308.html
61,帕加尼,https://car.autohome.com.cn//price/brand-61.html
26,奇瑞,https://car.autohome.com.cn//price/brand-26.html
210,骐铃汽车,https://car.autohome.com.cn//price/brand-210.html
122,启辰,https://car.autohome.com.cn//price/brand-122.html
62,起亚,https://car.autohome.com.cn//price/brand-62.html
235,前途,https://car.autohome.com.cn//price/brand-235.html
222,乔治·巴顿,https://car.autohome.com.cn//price/brand-222.html
312,庆铃汽车,https://car.autohome.com.cn//price/brand-312.html
219,全球鹰,https://car.autohome.com.cn//price/brand-219.html
63,日产,https://car.autohome.com.cn//price/brand-63.html
19,荣威,https://car.autohome.com.cn//price/brand-19.html
337,容大智造,https://car.autohome.com.cn//price/brand-337.html
174,如虎,https://car.autohome.com.cn//price/brand-174.html
296,瑞驰新能源,https://car.autohome.com.cn//price/brand-296.html
103,瑞麒,https://car.autohome.com.cn//price/brand-103.html
325,SERES赛力斯,https://car.autohome.com.cn//price/brand-325.html
388,SHELBY,https://car.autohome.com.cn//price/brand-388.html
45,smart,https://car.autohome.com.cn//price/brand-45.html
306,SRM鑫源,https://car.autohome.com.cn//price/brand-306.html
269,SWM斯威汽车,https://car.autohome.com.cn//price/brand-269.html
64,萨博,https://car.autohome.com.cn//price/brand-64.html
205,赛麟,https://car.autohome.com.cn//price/brand-205.html
68,三菱,https://car.autohome.com.cn//price/brand-68.html
149,陕汽通家,https://car.autohome.com.cn//price/brand-149.html
155,上汽MAXUS,https://car.autohome.com.cn//price/brand-155.html
402,上喆,https://car.autohome.com.cn//price/brand-402.html
66,世爵,https://car.autohome.com.cn//price/brand-66.html
90,双环,https://car.autohome.com.cn//price/brand-90.html
69,双龙,https://car.autohome.com.cn//price/brand-69.html
330,思皓,https://car.autohome.com.cn//price/brand-330.html
